Country,Year,Value
Australia,2023,1213
Australia,2022,1208
Australia,2021,1203
Australia,2020,1198
Australia,2019,1193
Australia,2018,1188
Australia,2017,1183
Australia,2016,1178
Australia,2015,1173
Australia,2014,1168
Australia,2013,1163
Australia,2012,1158
Australia,2011,1153
Australia,2010,1148
Australia,2009,1143
Australia,2008,1138
Singapore,2023,1141
Singapore,2022,1136
Singapore,2021,1131
Singapore,2020,1126
Singapore,2019,1121
Singapore,2018,1116
Singapore,2017,1111
Singapore,2016,1106
Singapore,2015,1101
Singapore,2014,1096
Singapore,2013,1091
Singapore,2012,1086
Singapore,2011,1081
Singapore,2010,1076
Singapore,2009,1071
Singapore,2008,1066
Finland,2023,1085
Finland,2022,1080
Finland,2021,1075
Finland,2020,1070
Finland,2019,1065
Finland,2018,1060
Finland,2017,1055
Finland,2016,1050
Finland,2015,1045
Finland,2014,1040
Finland,2013,1035
Finland,2012,1030
Finland,2011,1025
Finland,2010,1020
Finland,2009,1015
Finland,2008,1010
Finland,2023,1085
Finland,2022,1080
Finland,2021,1075
Finland,2020,1070
Finland,2019,1065
Finland,2018,1060
Finland,2017,1055
Finland,2016,1050
Finland,2015,1045
Finland,2014,1040
Finland,2013,1035
Finland,2012,1030
Finland,2011,1025
Finland,2010,1020
Finland,2009,1015
Finland,2008,1010
Sweden,2023,943
Sweden,2022,938
Sweden,2021,933
Sweden,2020,928
Sweden,2019,923
Sweden,2018,918
Sweden,2017,913
Sweden,2016,908
Sweden,2015,903
Sweden,2014,898
Sweden,2013,893
Sweden,2012,888
Sweden,2011,883
Sweden,2010,878
Sweden,2009,873
Sweden,2008,868
NewZealand,2023,928
NewZealand,2022,923
NewZealand,2021,918
NewZealand,2020,913
NewZealand,2019,908
NewZealand,2018,903
NewZealand,2017,898
NewZealand,2016,893
NewZealand,2015,888
NewZealand,2014,883
NewZealand,2013,878
NewZealand,2012,873
NewZealand,2011,868
NewZealand,2010,863
NewZealand,2009,858
NewZealand,2008,853
Canada,2023,896
Canada,2022,891
Canada,2021,886
Canada,2020,881
Canada,2019,876
Canada,2018,871
Canada,2017,866
Canada,2016,861
Canada,2015,856
Canada,2014,851
Canada,2013,846
Canada,2012,841
Canada,2011,836
Canada,2010,831
Canada,2009,826
Canada,2008,821
Switzerland,2023,879
Switzerland,2022,874
Switzerland,2021,869
Switzerland,2020,864
Switzerland,2019,859
Switzerland,2018,854
Switzerland,2017,849
Switzerland,2016,844
Switzerland,2015,839
Switzerland,2014,834
Switzerland,2013,829
Switzerland,2012,824
Switzerland,2011,819
Switzerland,2010,814
Switzerland,2009,809
Switzerland,2008,804
Iceland,2023,853
Iceland,2022,848
Iceland,2021,843
Iceland,2020,838
Iceland,2019,833
Iceland,2018,828
Iceland,2017,823
Iceland,2016,818
Iceland,2015,813
Iceland,2014,808
Iceland,2013,803
Iceland,2012,798
Iceland,2011,793
Iceland,2010,788
Iceland,2009,783
Iceland,2008,778